1.00,0.74,0.81,0.82,0.82,0.82,0.79,0.76,0.85,0.73,0.79,0.74,0.68,0.81,0.80,0.76,0.83,0.72,0.80,0.73,0.84,0.75,0.83,0.83,0.85,0.79,0.75,0.81,0.81,0.76
0.74,1.00,0.91,0.88,0.74,0.82,0.87,0.83,0.87,0.87,0.86,0.80,0.85,0.84,0.82,0.90,0.81,0.87,0.80,0.85,0.85,0.85,0.82,0.80,0.82,0.85,0.85,0.90,0.89,0.79
0.81,0.91,1.00,0.90,0.80,0.87,0.89,0.86,0.90,0.89,0.90,0.85,0.81,0.88,0.85,0.88,0.85,0.87,0.85,0.85,0.87,0.87,0.86,0.83,0.83,0.88,0.87,0.92,0.88,0.82
0.82,0.88,0.90,1.00,0.84,0.83,0.88,0.82,0.88,0.83,0.91,0.79,0.83,0.87,0.85,0.89,0.85,0.87,0.83,0.87,0.89,0.86,0.89,0.81,0.85,0.86,0.87,0.91,0.89,0.80
0.82,0.74,0.80,0.84,1.00,0.82,0.82,0.74,0.84,0.74,0.82,0.80,0.70,0.86,0.80,0.79,0.87,0.75,0.85,0.81,0.89,0.80,0.89,0.80,0.90,0.83,0.78,0.85,0.81,0.73
0.82,0.82,0.87,0.83,0.82,1.00,0.81,0.75,0.86,0.84,0.84,0.78,0.74,0.82,0.79,0.82,0.85,0.79,0.83,0.82,0.86,0.81,0.82,0.89,0.82,0.84,0.80,0.85,0.83,0.81
0.79,0.87,0.89,0.88,0.82,0.81,1.00,0.82,0.87,0.83,0.86,0.84,0.82,0.92,0.79,0.89,0.85,0.88,0.82,0.83,0.89,0.87,0.83,0.80,0.84,0.85,0.88,0.91,0.89,0.77
0.76,0.83,0.86,0.82,0.74,0.75,0.82,1.00,0.79,0.82,0.80,0.81,0.79,0.77,0.87,0.82,0.79,0.80,0.77,0.81,0.79,0.85,0.83,0.80,0.80,0.85,0.79,0.84,0.81,0.84
0.85,0.87,0.90,0.88,0.84,0.86,0.87,0.79,1.00,0.84,0.90,0.79,0.78,0.87,0.85,0.85,0.87,0.82,0.87,0.83,0.90,0.86,0.86,0.85,0.88,0.86,0.84,0.91,0.89,0.79
0.73,0.87,0.89,0.83,0.74,0.84,0.83,0.82,0.84,1.00,0.82,0.84,0.81,0.81,0.79,0.84,0.81,0.86,0.81,0.84,0.81,0.87,0.80,0.82,0.79,0.87,0.84,0.83,0.81,0.82
