1.00,0.84,0.83,0.88,0.87,0.89,0.90,0.84,0.84,0.85
0.84,1.00,0.89,0.89,0.87,0.82,0.87,0.84,0.89,0.87
0.83,0.89,1.00,0.89,0.90,0.86,0.91,0.87,0.90,0.85
0.88,0.89,0.89,1.00,0.88,0.86,0.89,0.88,0.85,0.85
0.87,0.87,0.90,0.88,1.00,0.85,0.93,0.86,0.85,0.89
0.89,0.82,0.86,0.86,0.85,1.00,0.89,0.86,0.83,0.83
0.90,0.87,0.91,0.89,0.93,0.89,1.00,0.90,0.87,0.91
0.84,0.84,0.87,0.88,0.86,0.86,0.90,1.00,0.84,0.85
0.84,0.89,0.90,0.85,0.85,0.83,0.87,0.84,1.00,0.84
0.85,0.87,0.85,0.85,0.89,0.83,0.91,0.85,0.84,1.00
