1.00,0.82,0.86,0.81,0.82,0.83,0.86,0.90,0.90,0.83
0.82,1.00,0.83,0.76,0.86,0.83,0.88,0.83,0.80,0.74
0.86,0.83,1.00,0.80,0.85,0.86,0.88,0.85,0.86,0.82
0.81,0.76,0.80,1.00,0.81,0.79,0.81,0.80,0.88,0.92
0.82,0.86,0.85,0.81,1.00,0.91,0.90,0.87,0.85,0.81
0.83,0.83,0.86,0.79,0.91,1.00,0.88,0.87,0.85,0.81
0.86,0.88,0.88,0.81,0.90,0.88,1.00,0.85,0.84,0.82
0.90,0.83,0.85,0.80,0.87,0.87,0.85,1.00,0.89,0.83
0.90,0.80,0.86,0.88,0.85,0.85,0.84,0.89,1.00,0.88
0.83,0.74,0.82,0.92,0.81,0.81,0.82,0.83,0.88,1.00
