User ID,Ethnicity,Gender,Education,Party,Topic,In Support,Similarity1,Similarity2,Similarity3,Similarity4,Similarity5,Similarity6,Similarity7,Similarity8,Similarity9,Similaritymax3,Similaritymax5
100000944,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0.3427,0.1945,0.3763,0.3051,0.389,0.425,0.3495,0.0834,0.4288,0.3763,0.4288
100000945,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0.3348,0.2601,0.3604,0.4315,0.2409,0.3845,0.3066,0.1695,0.2856,0.4315,0.3845
100000952,White,Woman,4-Year,D,Increasing size of House of Representatives,FALSE,0.4976,0.14,0.5313,0.5384,0.3121,0.4908,0.3929,0.1788,0.3837,0.5384,0.4908
100000975,White,Woman,Post-Grad,I,Increasing size of House of Representatives,FALSE,0.194,0.1836,0.187,0.1533,0.1076,0.1787,0.2244,0.1365,0.2136,0.187,0.2244
100000983,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0.3483,0.2805,0.2752,0.334,0.2484,0.3176,0.3978,0.1033,0.2676,0.334,0.3978
100000988,White,Woman,4-Year,D,Increasing size of House of Representatives,FALSE,0.4019,0.2833,0.3959,0.4959,0.2835,0.3441,0.3323,0.2553,0.3289,0.4959,0.3441
100001014,White,Man,HS or Less,R,Increasing size of House of Representatives,FALSE,0.0358,0.2082,0.0479,0.0446,0.1114,0.0555,0.009,0.0189,0.0593,0.2082,0.1114
100001060,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.2918,0.3733,0.2466,0.3908,0.394,0.4026,0.2986,0.1847,0.3184,0.3908,0.4026
100001078,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0.033,0.0999,0.0914,0.0448,0.0203,0.0029,0.0723,0.0982,0.0573,0.0999,0.0982
100001097,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,-0.0219,0.0636,0.036,0.1166,0.0139,0.0091,0.0316,0.1035,0.0155,0.1166,0.1035
100001117,White,Woman,Post-Grad,I,Increasing size of House of Representatives,FALSE,0.1768,0.2365,0.1588,0.1951,0.2129,0.2143,0.1552,0.1532,0.1411,0.2365,0.2143
100001136,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.3232,0.3076,0.3145,0.3342,0.2366,0.295,0.2969,0.3099,0.3896,0.3342,0.3896
100001143,White,Woman,Some College,D,Increasing size of House of Representatives,FALSE,0.0664,0.1601,0.0367,0.0265,0.0915,0.043,-0.0073,0.1012,0.1042,0.1601,0.1042
100001148,White,Woman,Some College,D,Increasing size of House of Representatives,FALSE,0.0688,0.1882,0.0686,0.0554,0.1321,0.081,-0.0184,-0.0086,0.0244,0.1882,0.1321
200000394,White,Woman,Post-Grad,I,Increasing size of House of Representatives,FALSE,0.2323,0.3513,0.2295,0.3595,0.2829,0.2876,0.2122,0.2138,0.1881,0.3595,0.2876
200000396,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0.3407,0.3135,0.3143,0.4279,0.3434,0.3968,0.2485,0.1854,0.2382,0.4279,0.3968
