1.00,0.64,-0.08,0.69,0.70,0.79,0.74,0.75,0.56,0.80,0.61,0.66,0.55,0.74,0.72,0.80,0.81,0.71,0.78,0.72,0.69,0.68,0.59,0.70,0.54,0.67,0.76,0.78,0.70,0.63,0.71,0.68,0.55,0.61,0.75,0.70,0.84,0.66,0.49,0.83,0.79,0.79,0.72,0.69,0.73,0.37,0.50,0.66,0.71,0.66
0.64,1.00,-0.01,0.80,0.78,0.82,0.73,0.78,0.73,0.77,0.65,0.87,0.80,0.74,0.78,0.69,0.63,0.79,0.63,0.81,0.77,0.82,0.83,0.68,0.76,0.69,0.76,0.59,0.76,0.78,0.79,0.77,0.83,0.77,0.58,0.77,0.64,0.85,0.71,0.70,0.78,0.73,0.76,0.68,0.70,0.40,0.51,0.76,0.77,0.75
-0.08,-0.01,1.00,-0.03,-0.05,-0.09,-0.01,-0.05,0.01,-0.05,0.02,-0.05,-0.04,-0.06,-0.06,-0.05,-0.07,-0.03,-0.01,-0.08,-0.01,-0.06,-0.04,-0.00,-0.01,-0.05,-0.07,-0.04,-0.06,-0.01,-0.06,-0.08,-0.05,0.01,-0.05,-0.02,-0.06,-0.03,-0.01,-0.07,-0.10,-0.06,-0.06,-0.07,-0.04,0.10,0.02,-0.05,-0.04,-0.02
0.69,0.80,-0.03,1.00,0.85,0.83,0.80,0.82,0.78,0.79,0.71,0.85,0.80,0.80,0.82,0.75,0.71,0.84,0.74,0.80,0.74,0.86,0.80,0.72,0.75,0.75,0.86,0.65,0.82,0.82,0.79,0.78,0.77,0.75,0.63,0.80,0.63,0.85,0.71,0.79,0.84,0.80,0.80,0.73,0.76,0.43,0.56,0.80,0.79,0.81
0.70,0.78,-0.05,0.85,1.00,0.83,0.76,0.87,0.80,0.80,0.71,0.78,0.81,0.88,0.87,0.78,0.73,0.85,0.75,0.84,0.80,0.84,0.81,0.81,0.77,0.85,0.85,0.64,0.89,0.82,0.77,0.85,0.81,0.69,0.65,0.79,0.64,0.80,0.66,0.76,0.84,0.83,0.88,0.79,0.83,0.40,0.60,0.88,0.85,0.76
0.79,0.82,-0.09,0.83,0.83,1.00,0.82,0.84,0.73,0.89,0.67,0.86,0.70,0.84,0.83,0.85,0.81,0.87,0.76,0.87,0.74,0.80,0.76,0.74,0.71,0.74,0.81,0.77,0.82,0.81,0.84,0.80,0.71,0.72,0.72,0.76,0.72,0.81,0.62,0.82,0.89,0.86,0.80,0.80,0.81,0.46,0.60,0.80,0.80,0.79
0.74,0.73,-0.01,0.80,0.76,0.82,1.00,0.84,0.77,0.88,0.69,0.74,0.70,0.76,0.76,0.81,0.74,0.76,0.73,0.79,0.72,0.71,0.73,0.70,0.68,0.71,0.75,0.79,0.79,0.79,0.69,0.74,0.69,0.75,0.61,0.79,0.65,0.76,0.61,0.75,0.83,0.80,0.74,0.79,0.75,0.52,0.60,0.78,0.73,0.74
0.75,0.78,-0.05,0.82,0.87,0.84,0.84,1.00,0.83,0.83,0.71,0.81,0.76,0.85,0.78,0.79,0.79,0.80,0.76,0.83,0.76,0.81,0.82,0.75,0.75,0.80,0.82,0.67,0.80,0.83,0.74,0.82,0.82,0.69,0.65,0.77,0.64,0.82,0.63,0.76,0.85,0.83,0.82,0.76,0.77,0.43,0.57,0.88,0.80,0.74
0.56,0.73,0.01,0.78,0.80,0.73,0.77,0.83,1.00,0.73,0.72,0.74,0.71,0.72,0.66,0.66,0.59,0.74,0.65,0.74,0.69,0.74,0.77,0.70,0.68,0.73,0.71,0.55,0.72,0.76,0.62,0.70,0.75,0.65,0.54,0.72,0.53,0.75,0.66,0.63,0.74,0.73,0.67,0.71,0.68,0.56,0.58,0.84,0.70,0.69
0.80,0.77,-0.05,0.79,0.80,0.89,0.88,0.83,0.73,1.00,0.70,0.78,0.68,0.80,0.82,0.86,0.82,0.80,0.77,0.82,0.74,0.74,0.72,0.72,0.68,0.70,0.79,0.87,0.81,0.77,0.78,0.77,0.67,0.75,0.71,0.75,0.74,0.77,0.54,0.80,0.83,0.86,0.78,0.79,0.80,0.47,0.62,0.79,0.78,0.79
