1.00,0.62,0.62,0.68,0.63,0.01,0.64,0.57,0.64,0.61,0.61,0.60,0.69,0.67,0.53,0.37,0.63,0.01,0.55,0.71,0.61,0.68,0.70,0.27,0.61,0.66,0.62,0.63,0.59,0.50,0.01,0.65,0.01,0.66,0.01,0.52,0.64,0.73,0.68,0.70,0.76,0.73,0.67,0.65,0.60,0.71,0.59,0.61,0.49,0.70
0.62,1.00,0.71,0.79,0.84,-0.01,0.77,0.84,0.80,0.70,0.79,0.83,0.84,0.81,0.70,0.60,0.82,-0.01,0.81,0.75,0.76,0.71,0.72,0.56,0.82,0.78,0.79,0.86,0.73,0.67,-0.01,0.67,-0.01,0.76,-0.01,0.82,0.73,0.71,0.77,0.73,0.84,0.69,0.89,0.82,0.83,0.74,0.74,0.65,0.53,0.86
0.62,0.71,1.00,0.66,0.62,0.00,0.80,0.63,0.74,0.67,0.70,0.68,0.72,0.75,0.57,0.52,0.72,0.00,0.66,0.69,0.75,0.67,0.73,0.46,0.75,0.67,0.61,0.70,0.57,0.49,0.00,0.60,0.00,0.68,0.00,0.76,0.72,0.62,0.66,0.66,0.70,0.63,0.72,0.66,0.62,0.75,0.62,0.67,0.45,0.76
0.68,0.79,0.66,1.00,0.81,-0.03,0.80,0.80,0.81,0.65,0.82,0.74,0.86,0.79,0.69,0.56,0.82,-0.03,0.72,0.71,0.72,0.66,0.78,0.51,0.82,0.84,0.76,0.79,0.73,0.70,-0.03,0.68,-0.03,0.76,-0.03,0.69,0.77,0.72,0.84,0.75,0.84,0.77,0.79,0.86,0.76,0.73,0.74,0.66,0.61,0.85
0.63,0.84,0.62,0.81,1.00,-0.07,0.82,0.82,0.80,0.68,0.80,0.85,0.85,0.76,0.73,0.52,0.84,-0.07,0.83,0.68,0.73,0.66,0.72,0.57,0.82,0.79,0.75,0.83,0.76,0.76,-0.07,0.64,-0.07,0.74,-0.07,0.75,0.65,0.71,0.81,0.75,0.80,0.68,0.80,0.79,0.85,0.68,0.84,0.60,0.50,0.84
0.01,-0.01,0.00,-0.03,-0.07,1.00,-0.04,0.02,-0.03,-0.07,-0.05,-0.06,-0.03,-0.08,-0.04,0.07,-0.07,1.00,-0.08,-0.02,-0.04,-0.04,-0.09,0.03,-0.04,-0.10,-0.04,-0.03,-0.03,-0.07,1.00,-0.00,1.00,0.02,1.00,0.00,-0.01,-0.05,-0.08,-0.06,-0.07,-0.06,-0.03,-0.08,-0.07,-0.08,-0.05,-0.03,0.03,-0.02
0.64,0.77,0.80,0.80,0.82,-0.04,1.00,0.78,0.80,0.69,0.84,0.75,0.81,0.81,0.69,0.54,0.84,-0.04,0.74,0.69,0.78,0.68,0.74,0.54,0.80,0.81,0.71,0.81,0.68,0.62,-0.04,0.65,-0.04,0.77,-0.04,0.83,0.74,0.68,0.78,0.72,0.79,0.69,0.76,0.77,0.75,0.74,0.75,0.67,0.48,0.87
0.57,0.84,0.63,0.80,0.82,0.02,0.78,1.00,0.71,0.56,0.79,0.78,0.80,0.76,0.73,0.63,0.81,0.02,0.77,0.63,0.72,0.67,0.66,0.68,0.76,0.75,0.74,0.78,0.71,0.74,0.02,0.66,0.02,0.78,0.02,0.70,0.71,0.59,0.72,0.69,0.73,0.61,0.79,0.76,0.74,0.63,0.75,0.60,0.49,0.84
0.64,0.80,0.74,0.81,0.80,-0.03,0.80,0.71,1.00,0.72,0.73,0.80,0.83,0.76,0.68,0.54,0.83,-0.03,0.83,0.72,0.71,0.60,0.72,0.46,0.86,0.77,0.66,0.84,0.73,0.70,-0.03,0.57,-0.03,0.69,-0.03,0.78,0.67,0.69,0.80,0.75,0.80,0.70,0.83,0.80,0.82,0.72,0.82,0.57,0.45,0.86
0.61,0.70,0.67,0.65,0.68,-0.07,0.69,0.56,0.72,1.00,0.69,0.70,0.68,0.72,0.58,0.48,0.71,-0.07,0.66,0.70,0.71,0.65,0.69,0.32,0.73,0.61,0.58,0.67,0.63,0.47,-0.07,0.45,-0.07,0.56,-0.07,0.69,0.57,0.71,0.66,0.65,0.70,0.70,0.74,0.68,0.69,0.72,0.60,0.58,0.41,0.68
0.61,0.79,0.70,0.82,0.80,-0.05,0.84,0.79,0.73,0.69,1.00,0.75,0.82,0.83,0.70,0.51,0.82,-0.05,0.78,0.73,0.76,0.70,0.76,0.55,0.82,0.79,0.80,0.78,0.72,0.64,-0.05,0.68,-0.05,0.72,-0.05,0.78,0.74,0.75,0.83,0.81,0.82,0.72,0.79,0.82,0.73,0.76,0.68,0.68,0.61,0.80
0.60,0.83,0.68,0.74,0.85,-0.06,0.75,0.78,0.80,0.70,0.75,1.00,0.81,0.74,0.77,0.59,0.76,-0.06,0.89,0.71,0.73,0.64,0.69,0.61,0.84,0.72,0.67,0.84,0.75,0.76,-0.06,0.61,-0.06,0.74,-0.06,0.77,0.61,0.68,0.75,0.74,0.75,0.64,0.87,0.74,0.86,0.72,0.87,0.58,0.46,0.83
0.69,0.84,0.72,0.86,0.85,-0.03,0.81,0.80,0.83,0.68,0.82,0.81,1.00,0.81,0.77,0.62,0.83,-0.03,0.82,0.73,0.74,0.68,0.78,0.59,0.85,0.89,0.80,0.84,0.76,0.76,-0.03,0.73,-0.03,0.81,-0.03,0.74,0.79,0.75,0.85,0.77,0.88,0.74,0.84,0.85,0.81,0.77,0.81,0.73,0.57,0.88
0.67,0.81,0.75,0.79,0.76,-0.08,0.81,0.76,0.76,0.72,0.83,0.74,0.81,1.00,0.67,0.55,0.82,-0.08,0.76,0.70,0.78,0.74,0.78,0.50,0.78,0.77,0.76,0.80,0.66,0.56,-0.08,0.68,-0.08,0.71,-0.08,0.78,0.76,0.71,0.78,0.75,0.82,0.77,0.78,0.81,0.73,0.76,0.65,0.65,0.59,0.81
0.53,0.70,0.57,0.69,0.73,-0.04,0.69,0.73,0.68,0.58,0.70,0.77,0.77,0.67,1.00,0.61,0.70,-0.04,0.74,0.61,0.67,0.54,0.60,0.55,0.74,0.72,0.65,0.74,0.83,0.75,-0.04,0.61,-0.04,0.71,-0.04,0.66,0.56,0.59,0.65,0.65,0.68,0.56,0.74,0.64,0.67,0.60,0.71,0.52,0.38,0.75
