1.00,0.76,0.76,0.85,0.84,0.75,0.64,0.77,0.80,0.85,0.82,0.77,0.81,0.70,0.82,0.80,0.72,0.76,0.76,0.79,0.83,0.77,0.81,0.82,0.80,0.83,0.76,0.84,0.80,0.81
0.76,1.00,0.85,0.77,0.78,0.82,0.77,0.76,0.78,0.80,0.83,0.78,0.80,0.82,0.76,0.85,0.77,0.81,0.81,0.78,0.85,0.74,0.83,0.75,0.77,0.80,0.80,0.78,0.82,0.86
0.76,0.85,1.00,0.80,0.77,0.90,0.77,0.77,0.83,0.79,0.78,0.78,0.83,0.80,0.77,0.76,0.72,0.86,0.79,0.78,0.84,0.73,0.88,0.75,0.78,0.80,0.78,0.78,0.83,0.83
0.85,0.77,0.80,1.00,0.79,0.79,0.69,0.81,0.83,0.83,0.84,0.77,0.82,0.69,0.82,0.84,0.74,0.83,0.71,0.82,0.80,0.77,0.81,0.80,0.77,0.85,0.79,0.79,0.80,0.81
0.84,0.78,0.77,0.79,1.00,0.78,0.71,0.81,0.80,0.85,0.80,0.80,0.81,0.73,0.88,0.79,0.76,0.82,0.79,0.83,0.84,0.82,0.80,0.84,0.78,0.84,0.81,0.80,0.78,0.81
0.75,0.82,0.90,0.79,0.78,1.00,0.78,0.82,0.82,0.79,0.82,0.76,0.85,0.86,0.78,0.79,0.77,0.81,0.79,0.78,0.86,0.75,0.86,0.74,0.75,0.78,0.84,0.75,0.84,0.84
0.64,0.77,0.77,0.69,0.71,0.78,1.00,0.77,0.74,0.76,0.77,0.78,0.74,0.78,0.72,0.72,0.72,0.74,0.78,0.75,0.79,0.69,0.76,0.68,0.73,0.69,0.77,0.70,0.80,0.80
0.77,0.76,0.77,0.81,0.81,0.82,0.77,1.00,0.76,0.79,0.81,0.77,0.80,0.80,0.80,0.78,0.79,0.80,0.82,0.82,0.83,0.77,0.79,0.80,0.76,0.81,0.86,0.79,0.80,0.82
0.80,0.78,0.83,0.83,0.80,0.82,0.74,0.76,1.00,0.79,0.79,0.75,0.79,0.77,0.85,0.78,0.69,0.83,0.70,0.82,0.81,0.79,0.83,0.81,0.72,0.84,0.79,0.73,0.76,0.86
0.85,0.80,0.79,0.83,0.85,0.79,0.76,0.79,0.79,1.00,0.86,0.84,0.81,0.77,0.83,0.83,0.80,0.81,0.83,0.82,0.86,0.86,0.84,0.83,0.83,0.81,0.82,0.84,0.83,0.81
0.82,0.83,0.78,0.84,0.80,0.82,0.77,0.81,0.79,0.86,1.00,0.88,0.86,0.77,0.85,0.86,0.81,0.83,0.83,0.81,0.86,0.75,0.83,0.79,0.86,0.78,0.83,0.86,0.85,0.84
0.77,0.78,0.78,0.77,0.80,0.76,0.78,0.77,0.75,0.84,0.88,1.00,0.82,0.76,0.78,0.80,0.78,0.79,0.80,0.79,0.84,0.70,0.78,0.80,0.86,0.70,0.82,0.81,0.83,0.79
0.81,0.80,0.83,0.82,0.81,0.85,0.74,0.80,0.79,0.81,0.86,0.82,1.00,0.79,0.80,0.82,0.80,0.82,0.79,0.82,0.83,0.72,0.82,0.75,0.81,0.78,0.85,0.84,0.86,0.84
0.70,0.82,0.80,0.69,0.73,0.86,0.78,0.80,0.77,0.77,0.77,0.76,0.79,1.00,0.74,0.76,0.78,0.75,0.80,0.75,0.83,0.69,0.78,0.69,0.72,0.74,0.86,0.72,0.83,0.84
0.82,0.76,0.77,0.82,0.88,0.78,0.72,0.80,0.85,0.83,0.85,0.78,0.80,0.74,1.00,0.77,0.79,0.82,0.80,0.78,0.82,0.83,0.79,0.85,0.80,0.83,0.82,0.80,0.79,0.81
0.80,0.85,0.76,0.84,0.79,0.79,0.72,0.78,0.78,0.83,0.86,0.80,0.82,0.76,0.77,1.00,0.73,0.78,0.73,0.82,0.83,0.76,0.80,0.75,0.79,0.79,0.80,0.79,0.79,0.80
0.72,0.77,0.72,0.74,0.76,0.77,0.72,0.79,0.69,0.80,0.81,0.78,0.80,0.78,0.79,0.73,1.00,0.74,0.82,0.76,0.80,0.66,0.71,0.77,0.81,0.71,0.83,0.79,0.80,0.81
0.76,0.81,0.86,0.83,0.82,0.81,0.74,0.80,0.83,0.81,0.83,0.79,0.82,0.75,0.82,0.78,0.74,1.00,0.77,0.84,0.81,0.76,0.85,0.82,0.79,0.81,0.77,0.78,0.75,0.81
0.76,0.81,0.79,0.71,0.79,0.79,0.78,0.82,0.70,0.83,0.83,0.80,0.79,0.80,0.80,0.73,0.82,0.77,1.00,0.76,0.86,0.76,0.80,0.76,0.82,0.77,0.82,0.84,0.85,0.82
0.79,0.78,0.78,0.82,0.83,0.78,0.75,0.82,0.82,0.82,0.81,0.79,0.82,0.75,0.78,0.82,0.76,0.84,0.76,1.00,0.84,0.77,0.81,0.81,0.83,0.82,0.81,0.79,0.78,0.82
0.83,0.85,0.84,0.80,0.84,0.86,0.79,0.83,0.81,0.86,0.86,0.84,0.83,0.83,0.82,0.83,0.80,0.81,0.86,0.84,1.00,0.82,0.84,0.79,0.83,0.85,0.86,0.82,0.85,0.88
0.77,0.74,0.73,0.77,0.82,0.75,0.69,0.77,0.79,0.86,0.75,0.70,0.72,0.69,0.83,0.76,0.66,0.76,0.76,0.77,0.82,1.00,0.78,0.76,0.69,0.83,0.76,0.69,0.71,0.76
0.81,0.83,0.88,0.81,0.80,0.86,0.76,0.79,0.83,0.84,0.83,0.78,0.82,0.78,0.79,0.80,0.71,0.85,0.80,0.81,0.84,0.78,1.00,0.79,0.79,0.82,0.77,0.82,0.82,0.81
0.82,0.75,0.75,0.80,0.84,0.74,0.68,0.80,0.81,0.83,0.79,0.80,0.75,0.69,0.85,0.75,0.77,0.82,0.76,0.81,0.79,0.76,0.79,1.00,0.79,0.82,0.82,0.76,0.74,0.79
0.80,0.77,0.78,0.77,0.78,0.75,0.73,0.76,0.72,0.83,0.86,0.86,0.81,0.72,0.80,0.79,0.81,0.79,0.82,0.83,0.83,0.69,0.79,0.79,1.00,0.73,0.78,0.84,0.84,0.77
0.83,0.80,0.80,0.85,0.84,0.78,0.69,0.81,0.84,0.81,0.78,0.70,0.78,0.74,0.83,0.79,0.71,0.81,0.77,0.82,0.85,0.83,0.82,0.82,0.73,1.00,0.81,0.79,0.74,0.84
0.76,0.80,0.78,0.79,0.81,0.84,0.77,0.86,0.79,0.82,0.83,0.82,0.85,0.86,0.82,0.80,0.83,0.77,0.82,0.81,0.86,0.76,0.77,0.82,0.78,0.81,1.00,0.77,0.81,0.87
0.84,0.78,0.78,0.79,0.80,0.75,0.70,0.79,0.73,0.84,0.86,0.81,0.84,0.72,0.80,0.79,0.79,0.78,0.84,0.79,0.82,0.69,0.82,0.76,0.84,0.79,0.77,1.00,0.82,0.80
0.80,0.82,0.83,0.80,0.78,0.84,0.80,0.80,0.76,0.83,0.85,0.83,0.86,0.83,0.79,0.79,0.80,0.75,0.85,0.78,0.85,0.71,0.82,0.74,0.84,0.74,0.81,0.82,1.00,0.86
0.81,0.86,0.83,0.81,0.81,0.84,0.80,0.82,0.86,0.81,0.84,0.79,0.84,0.84,0.81,0.80,0.81,0.81,0.82,0.82,0.88,0.76,0.81,0.79,0.77,0.84,0.87,0.80,0.86,1.00
