1.00,0.87,0.88,0.87,0.84,0.89,0.82,0.89,0.79,0.85
0.87,1.00,0.87,0.84,0.84,0.87,0.83,0.85,0.87,0.85
0.88,0.87,1.00,0.85,0.85,0.86,0.79,0.87,0.77,0.80
0.87,0.84,0.85,1.00,0.86,0.86,0.82,0.89,0.78,0.85
0.84,0.84,0.85,0.86,1.00,0.85,0.78,0.87,0.77,0.81
0.89,0.87,0.86,0.86,0.85,1.00,0.80,0.87,0.81,0.83
0.82,0.83,0.79,0.82,0.78,0.80,1.00,0.84,0.79,0.81
0.89,0.85,0.87,0.89,0.87,0.87,0.84,1.00,0.79,0.85
0.79,0.87,0.77,0.78,0.77,0.81,0.79,0.79,1.00,0.76
0.85,0.85,0.80,0.85,0.81,0.83,0.81,0.85,0.76,1.00
