1.00,0.79,0.79,0.90,0.77,0.88,0.86,0.79,0.90,0.87
0.79,1.00,0.77,0.88,0.81,0.84,0.79,0.89,0.86,0.85
0.79,0.77,1.00,0.83,0.78,0.81,0.75,0.72,0.78,0.76
0.90,0.88,0.83,1.00,0.84,0.89,0.87,0.86,0.92,0.92
0.77,0.81,0.78,0.84,1.00,0.83,0.81,0.79,0.81,0.84
0.88,0.84,0.81,0.89,0.83,1.00,0.80,0.82,0.86,0.86
0.86,0.79,0.75,0.87,0.81,0.80,1.00,0.71,0.89,0.87
0.79,0.89,0.72,0.86,0.79,0.82,0.71,1.00,0.82,0.81
0.90,0.86,0.78,0.92,0.81,0.86,0.89,0.82,1.00,0.92
0.87,0.85,0.76,0.92,0.84,0.86,0.87,0.81,0.92,1.00
