1.00,0.88,0.79,0.87,0.82,0.89,0.89,0.88,0.91,0.90
0.88,1.00,0.82,0.86,0.83,0.91,0.88,0.89,0.93,0.89
0.79,0.82,1.00,0.82,0.79,0.81,0.81,0.80,0.82,0.81
0.87,0.86,0.82,1.00,0.86,0.87,0.88,0.86,0.90,0.87
0.82,0.83,0.79,0.86,1.00,0.87,0.86,0.85,0.85,0.85
0.89,0.91,0.81,0.87,0.87,1.00,0.88,0.89,0.89,0.87
0.89,0.88,0.81,0.88,0.86,0.88,1.00,0.87,0.91,0.87
0.88,0.89,0.80,0.86,0.85,0.89,0.87,1.00,0.91,0.88
0.91,0.93,0.82,0.90,0.85,0.89,0.91,0.91,1.00,0.91
0.90,0.89,0.81,0.87,0.85,0.87,0.87,0.88,0.91,1.00
