1.00,0.87,0.88,0.90,0.87,0.85,0.81,0.84,0.86,0.81
0.87,1.00,0.89,0.88,0.87,0.84,0.86,0.87,0.87,0.88
0.88,0.89,1.00,0.89,0.88,0.81,0.85,0.86,0.84,0.82
0.90,0.88,0.89,1.00,0.91,0.87,0.87,0.83,0.86,0.85
0.87,0.87,0.88,0.91,1.00,0.86,0.87,0.90,0.86,0.86
0.85,0.84,0.81,0.87,0.86,1.00,0.86,0.84,0.90,0.84
0.81,0.86,0.85,0.87,0.87,0.86,1.00,0.84,0.86,0.88
0.84,0.87,0.86,0.83,0.90,0.84,0.84,1.00,0.86,0.84
0.86,0.87,0.84,0.86,0.86,0.90,0.86,0.86,1.00,0.84
0.81,0.88,0.82,0.85,0.86,0.84,0.88,0.84,0.84,1.00
